date,open,high,low,Close,Volume
2/11/13,83.5685,83.6053,83.1539,83.5593,15722100
2/12/13,83.5961,84.0568,83.5409,83.9278,19792700
2/13/13,84.0108,84.3424,83.8172,84.2779,22591300
2/14/13,84.0015,84.6418,83.9831,84.4898,22359300
2/15/13,84.4529,84.7846,84.2687,84.5174,29339100
2/19/13,84.6464,85.2728,84.6372,85.2636,21162300
2/20/13,85.3373,85.3834,83.5961,83.679,41753800
2/21/13,83.6238,83.6697,82.334,82.8683,45067400
2/22/13,83.2921,83.8633,83.2553,83.8633,24762300
2/25/13,84.2963,84.3239,81.9655,82.0115,53492800
2/26/13,82.3708,82.7117,81.7996,82.334,47522800
2/27/13,82.3248,83.6975,82.2787,83.2,41192300
2/28/13,83.1908,83.8817,83.0802,83.3566,31208800
3/1/13,82.8038,83.8909,82.1866,83.7343,49278200
3/4/13,83.5316,83.9923,83.0986,83.9554,27577000
3/5/13,84.3976,85.0794,84.3884,84.932,35612300
3/6/13,85.1899,85.3097,84.8675,85.1531,28483000
3/7/13,85.1991,85.6229,85.0517,85.5584,27907700
3/8/13,86.231,86.3692,85.6045,86.3507,38066100
3/11/13,86.0651,86.3692,85.9822,86.3231,26716100
3/12/13,86.1204,86.3692,85.844,86.148,21489000
3/13/13,86.1757,86.6179,85.9085,86.4705,28662200
3/14/13,86.6271,87.3457,86.4829,87.3365,24747300
3/15/13,87.1983,87.4839,86.9588,87.2904,35361700
3/18/13,86.3599,87.1614,86.2955,86.8114,36700800
3/19/13,86.9772,87.2536,85.6874,86.4429,51516400
3/20/13,86.9311,87.2812,86.839,87.2444,27958600
3/21/13,86.6363,87.0325,86.1758,86.4797,37122600
3/22/13,86.8298,86.9403,86.5442,86.7469,33429900
3/25/13,86.9537,87.508,86.1776,86.7966,36680500
3/26/13,87.1569,87.2955,86.6119,87.0738,26348000
3/27/13,86.5195,87.1939,86.1407,87.1329,28461800
3/28/13,87.0923,87.4526,86.9722,87.2401,24160700
4/1/13,87.0923,87.277,85.6464,86.0668,59660300
4/2/13,86.6396,86.7689,85.457,85.5309,47917200
4/3/13,85.8635,85.9005,83.9973,84.1913,65441400
4/4/13,84.3114,84.9397,84.0343,84.9119,37706300
4/5/13,83.6278,84.7641,83.5354,84.7457,46418300
4/8/13,84.9859,85.4755,84.3761,85.4478,28886500
4/9/13,85.5864,85.7619,85.0321,85.1983,36828400
4/10/13,85.4663,86.9352,85.4108,86.7412,50119600
4/11/13,86.6858,87.374,86.6119,86.8613,32619000
4/12/13,86.5657,86.7874,85.8404,86.5102,41931800
4/15/13,85.9744,86.0575,82.9534,83.249,100204000
4/16/13,83.8957,84.8103,83.6001,84.6902,58061700
4/17/13,83.9973,84.0897,82.436,83.2176,77710600
4/18/13,83.286,83.4892,82.3436,82.7594,58516600
4/19/13,83.1104,83.7848,82.4175,83.7109,44931600
4/22/13,83.7941,84.1359,82.4083,83.9511,49190300
4/23/13,84.6256,85.3092,83.9402,85.2815,55313200
4/24/13,85.263,85.7896,84.9304,85.7249,41020800
4/25/13,85.9467,86.7504,85.8173,86.2885,36543300
4/26/13,86.0021,86.2515,85.457,85.8266,32405600
4/29/13,86.2054,86.6396,85.9836,86.4456,20791400
4/30/13,86.4548,86.9722,86.076,86.9352,30488500
5/1/13,86.6673,86.7504,84.7734,84.8287,120177800
5/2/13,85.3092,86.3532,85.1522,86.1776,38830300
5/3/13,87.3325,88.2009,87.1662,87.545,51981000
5/6/13,87.6096,88.2286,87.5265,88.1085,26893800
5/7/13,88.2378,88.8476,87.8868,88.8291,29920800
5/8/13,88.6259,89.1248,88.3949,89.0878,37669300
5/9/13,88.9677,89.1617,88.4596,88.7829,32331100
5/10/13,88.8845,89.5543,88.7552,89.4573,39288900
5/13/13,89.3742,89.7253,89.0878,89.3927,22522300
5/14/13,89.559,90.566,89.5497,90.5383,33539600
5/15/13,90.3535,91.1572,90.2519,90.723,34000200
5/16/13,90.566,91.0556,90.2611,90.4921,42053300
5/17/13,90.9078,91.5282,90.4981,91.5083,35675100
5/20/13,91.2404,92.0164,91.2312,91.6561,25027400
5/21/13,91.6469,91.9702,91.3513,91.6746,23596700
5/22/13,91.8409,92.737,89.716,90.335,68650700
5/23/13,89.291,90.4782,89.1617,90.4459,44524500
5/24/13,89.8916,90.4921,89.3465,90.4274,33332500
5/28/13,91.6469,92.4737,90.9824,91.6007,46121100
5/29/13,91.0464,91.6328,89.9562,90.7507,40491500
5/30/13,91.0002,91.5776,90.8247,91.3605,30620300
5/31/13,90.8893,91.4806,90.3258,90.3535,38953700
6/3/13,90.6676,91.3143,89.6421,91.2127,87088500
6/4/13,91.1665,91.6469,89.5405,90.2426,68206900
6/5/13,90.1318,90.2703,88.8291,89.0878,58967500
6/6/13,89.0231,90.0301,88.4411,90.0301,46335300
6/7/13,90.4459,90.954,89.8638,90.723,44757500
6/10/13,91.1295,91.2773,90.3627,91.2773,32136500
6/11/13,90.238,90.9725,89.4851,90.2888,43461300
6/12/13,90.8431,90.9817,89.2679,89.3927,58446900
6/13/13,89.365,91.185,89.0324,90.9771,47768600
6/14/13,90.7972,91.1295,90.0024,90.2713,37838400
6/17/13,91.0833,91.3282,90.3165,90.8616,33308600
6/18/13,91.0187,92.2012,90.8429,91.9333,40520200
6/19/13,91.9333,92.1088,90.6861,90.8062,43193500
6/20/13,89.3465,90.7276,88.0346,88.4041,76262300
6/21/13,88.3579,88.8568,87.4248,88.6674,66115300
6/24/13,87.6835,88.2425,86.6858,87.4988,58774600
6/25/13,88.3118,88.5427,87.6467,88.3395,32418400
6/26/13,89.1709,89.2726,88.3672,88.7552,33752300
6/27/13,89.291,90.2981,89.2495,90.1318,40852300
6/28/13,89.9839,90.5013,89.4758,89.6144,46135800
7/1/13,90.2149,91.5545,90.2057,91.0741,37805800
7/2/13,91.0838,91.7241,90.425,91.0096,36848900
7/3/13,90.6848,91.5292,90.5549,91.1951,19153600
7/5/13,92.2158,92.5592,91.223,92.4849,29427500
7/8/13,92.9118,93.1994,92.6891,92.8561,30905300
7/9/13,93.4407,93.9046,93.0695,93.7191,36010700
7/10/13,93.7562,94.0717,93.4778,93.9789,36061100
7/11/13,95.0367,95.1944,94.5913,95.0831,34434200
7/12/13,95.0924,95.677,95.0831,95.278,28584000
7/15/13,95.5285,96.2059,95.4264,96.1131,30786600
7/16/13,96.1502,96.1966,95.4079,95.6306,38630800
7/17/13,96.1688,96.4564,95.7976,96.0017,28476600
7/18/13,96.2523,97.0503,96.1873,96.642,32034100
7/19/13,96.5585,96.7905,96.2615,96.7905,22806600
7/22/13,96.9482,97.208,96.6234,96.9946,25854900
7/23/13,97.3472,97.3843,96.7348,96.9296,26309700
7/24/13,97.3472,97.4122,95.9832,96.1223,31809700
7/25/13,96.011,97.1059,95.8811,97.0039,46093900
7/26/13,96.4656,96.6605,95.9089,96.6141,23036800
7/29/13,96.3543,96.7533,95.5749,95.9368,30360800
7/30/13,96.2151,96.3822,95.677,96.0203,26311000
7/31/13,96.4007,97.1338,96.1409,96.1827,38330400
